,sid,text
0,0,las
1,0,antenas
2,0,miden
3,0,el
4,0,metro
5,1,la
6,1,sociedad
7,1,plantea
8,1,necesidad
9,2,el
10,2,motor
11,2,consume
12,2,la
13,2,energia
14,3,las
15,3,proposiciones
16,3,tienen
17,3,el
18,3,tema
19,4,las
20,4,revoluciones
21,4,abarcan
22,4,esferas
23,5,el
24,5,hilo
25,5,comparte
26,5,los
27,5,datos
28,6,la
29,6,persona
30,6,compara
31,6,las
32,6,cosas
33,7,la
34,7,aplicacion
35,7,posibilita
36,7,las
37,7,creaciones
38,8,las
39,8,agencias
40,8,disponen
41,8,los
42,8,equipos
43,9,el
44,9,lugar
45,9,regula
46,9,ritmo
47,10,el
48,10,beneficio
49,10,supera
50,10,los
51,10,riesgos
52,11,las
53,11,codificaciones
54,11,seleccionan
55,11,la
56,11,informacion
57,12,los
58,12,productos
59,12,cumplen
60,12,la
61,12,propiedad
62,13,la
63,13,investigacion
64,13,recoge
65,13,los
66,13,conocimientos
67,14,la
68,14,diversidad
69,14,dificulta
70,14,relacion
71,15,las
72,15,teorias
73,15,reducen
74,15,los
75,15,numeros
76,16,el
77,16,centro
78,16,describe
79,16,las
80,16,parabolas
81,17,las
82,17,controversias
83,17,cierran
84,17,el
85,17,paso
86,18,las
87,18,versiones
88,18,soportan
89,18,el
90,18,comando
91,19,el
92,19,grupo
93,19,exige
94,19,la
95,19,liberacion
96,20,las
97,20,fuerzas
98,20,atraen
99,20,los
100,20,electrones
101,21,el
102,21,trato
103,21,crea
104,21,la
105,21,dicha
106,22,la
107,22,tasa
108,22,excede
109,22,las
110,22,velocidades
111,23,el
112,23,sistema
113,23,incluye
114,23,las
115,23,posibilidades
116,24,los
117,24,paneles
118,24,contienen
119,24,la
120,24,opcion
121,25,las
122,25,condiciones
123,25,favorecen
124,25,los
125,25,desarrollos
126,26,los
127,26,arboles
128,26,estimulan
129,26,la
130,26,secrecion
131,27,las
132,27,bolsas
133,27,registran
134,27,perdidas
135,28,la
136,28,enfermedad
137,28,revela
138,28,las
139,28,claves
140,29,la
141,29,regla
142,29,brinda
143,29,las
144,29,garantias
145,30,el
146,30,pedido
147,30,merece
148,30,las
149,30,atenciones
150,31,los
151,31,cuadernos
152,31,presentan
153,31,la
154,31,division
155,32,el
156,32,algoritmo
157,32,recorre
158,32,nodo
159,33,las
160,33,calles
161,33,marcan
162,33,lineas
163,34,los
164,34,usos
165,34,ofrecen
166,34,la
167,34,ventaja
168,35,los
169,35,crecimientos
170,35,aumentan
171,35,las
172,35,estructuras
173,36,el
174,36,flujo
175,36,atraviesa
176,36,las
177,36,bobinas
178,37,el
179,37,nino
180,37,acaba
181,37,la
182,37,escuela
183,38,el
184,38,individuo
185,38,adapta
186,38,los
187,38,rasgos
188,39,el
189,39,caballo
190,39,recorre
191,39,la
192,39,casilla
193,40,el
194,40,jefe
195,40,configura
196,40,campo
197,41,las
198,41,presencias
199,41,imponen
200,41,el
201,41,reto
202,42,las
203,42,uniones
204,42,organizan
205,42,el
206,42,calendario
207,43,la
208,43,silla
209,43,ocasiona
210,43,las
211,43,lesiones
212,44,el
213,44,lugar
214,44,regula
215,44,los
216,44,ritmos
217,44,de
218,44,desarrollos
219,45,las
220,45,sillas
221,45,ocasionan
222,45,la
223,45,lesion
224,45,de
225,45,los
226,45,organos
227,46,los
228,46,tratos
229,46,crean
230,46,las
231,46,dichas
232,46,en
233,46,el
234,46,caso
235,47,la
236,47,regla
237,47,brinda
238,47,garantia
239,47,de
240,47,las
241,47,calidades
242,48,las
243,48,calles
244,48,marcan
245,48,lineas
246,48,imaginarias
247,49,las
248,49,estrategias
249,49,diferencian
250,49,el
251,49,pensamiento
252,49,de
253,49,la
254,49,persona
255,50,la
256,50,presencia
257,50,de
258,50,los
259,50,tipos
260,50,impone
261,50,retos
262,51,los
263,51,jugadores
264,51,conocidos
265,51,golpean
266,51,la
267,51,pelota
268,52,la
269,52,sociedad
270,52,plantea
271,52,necesidad
272,52,del
273,52,apoyo
274,53,los
275,53,sistemas
276,53,de
277,53,las
278,53,raices
279,53,incluyen
280,53,posibilidades
281,54,las
282,54,tasas
283,54,exceden
284,54,velocidades
285,54,relativas
286,55,la
287,55,antena
288,55,para
289,55,las
290,55,bandas
291,55,mide
292,55,los
293,55,metros
294,56,los
295,56,ninos
296,56,mayores
297,56,acaba
298,56,la
299,56,escuela
300,57,la
301,57,union
302,57,organiza
303,57,los
304,57,calendarios
305,57,deportivos
306,58,los
307,58,beneficios
308,58,superan
309,58,el
310,58,riesgo
311,58,por
312,58,puestos
313,59,el
314,59,flujo
315,59,atraviesa
316,59,las
317,59,bobinas
